id,2601101@普通化學（一）@1@1,2601107@普通化學實驗（一）@1@1,2601601@生物學@1@1,2601888@學系服務學習@1@1,2601102@普通化學（二）@2@1,2601108@普通化學實驗（二）@2@1,2601888@學系服務學習@2@1,2602201@有機化學（一）@1@1,2602205@有機化學實驗（一）@1@1,2602211@有機化學（一）@1@1,2602217@有機化學實驗（一）@1@1,2602411@化學數學（一）@1@1,2602501@分析化學（一）@1@1,2602507@分析化學實驗（一）@1@1,2602202@有機化學（二）@2@1,2602206@有機化學實驗（二）@2@1,2602212@有機化學（二）@2@1,2602218@有機化學實驗（二）@2@1,2602401@物理化學（一）@2@1,2602421@物理化學（一）@2@1,2602431@物理化學實驗（一）@2@1,2602502@分析化學（二）@2@1,2602509@分析化學實驗（二）@2@1,2602509@分析化學實驗（二）@2@2,2603711@材料化學導論@2@1,2603301@無機化學（一）@1@1,2603402@物理化學（二）@1@1,2603407@物理化學實驗（一）@1@1,2603422@物理化學（二）@1@1,2603432@物理化學實驗（二）@1@1,2603512@化學儀器@1@1,2603601@生物化學（一）@1@1,2603711@材料化學導論@1@1,2603901@專題研究（一）@1@1,2603302@無機化學（二）@2@1,2603403@物理化學（三）@2@1,2603408@物理化學實驗（二）@2@1,2603602@生物化學（二）@2@1,2603902@專題研究(二)@2@1,2601101@普通化學（一）@1@3,2604701@專題研究（三）@1@1,2604901@有機化學書報討論（一）@1@1,2604902@無機化學書報討論（一）@1@1,2604903@物理化學書報討論（一）@1@1,2604904@分析化學書報討論（一）@1@1,2604702@專題研究（四）@2@1,2604905@有機化學書報討論（二）@2@1,2604906@無機化學書報討論（二）@2@1,2604907@物理化學書報討論（二）@2@1,2604908@分析化學書報討論（二）@2@1
401260011,69,76,71,85,78,86,NaN,60,82,NaN,NaN,69,66,77,66,80,NaN,NaN,68,NaN,NaN,71,79,NaN,NaN,62,64,80,NaN,NaN,80,68,76,NaN,70,73,86,75,NaN,NaN,NaN,75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,72
401260012,62,65,71,NaN,67,68,80,61,68,NaN,NaN,69,72,72,62,62,NaN,NaN,90,NaN,NaN,67,NaN,73,NaN,66,96,77,NaN,NaN,70,82,78,NaN,90,76,82,NaN,NaN,NaN,NaN,NaN,75,NaN,NaN,NaN,NaN,NaN,86,NaN
401260013,69,72,72,85,76,73,NaN,91,74,NaN,NaN,96,68,81,91,84,NaN,NaN,86,NaN,NaN,83,76,NaN,NaN,81,69,77,NaN,NaN,NaN,85,NaN,75,99,80,86,NaN,85,NaN,90,NaN,NaN,NaN,82,85,NaN,NaN,NaN,75
401260014,69,70,70,NaN,69,74,80,70,82,NaN,NaN,80,62,70,78,77,NaN,NaN,62,NaN,NaN,71,NaN,81,NaN,79,61,81,NaN,NaN,62,77,78,NaN,52,61,85,60,NaN,NaN,NaN,NaN,74,NaN,NaN,NaN,NaN,NaN,78,NaN
401260015,71,67,65,85,78,64,NaN,65,72,NaN,NaN,69,86,70,61,65,NaN,NaN,62,NaN,NaN,77,64,NaN,NaN,60,60,76,NaN,NaN,75,83,60,NaN,65,61,81,NaN,NaN,NaN,NaN,79,NaN,NaN,NaN,NaN,67,NaN,NaN,NaN
401260016,74,76,74,NaN,88,73,80,66,75,NaN,NaN,82,85,73,68,83,NaN,NaN,62,NaN,NaN,84,NaN,77,NaN,72,62,78,NaN,NaN,66,79,68,NaN,78,73,84,NaN,NaN,NaN,NaN,NaN,75,NaN,NaN,NaN,77,NaN,NaN,NaN
401260017,48,69,67,90,65,72,NaN,46,72,NaN,NaN,91,60,73,-1,64,NaN,NaN,60,NaN,NaN,62,NaN,69,NaN,49,60,73,NaN,NaN,63,22,NaN,NaN,51,-1,86,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
401260018,85,68,79,NaN,89,82,88,87,83,NaN,NaN,84,99,85,94,92,NaN,NaN,98,NaN,NaN,95,79,NaN,NaN,79,86,79,NaN,NaN,NaN,87,80,80,94,86,86,98,70,NaN,80,NaN,NaN,95,NaN,NaN,88,NaN,NaN,NaN
401260019,70,70,67,85,76,71,NaN,79,72,NaN,NaN,69,73,73,73,76,NaN,NaN,72,NaN,NaN,68,NaN,68,NaN,74,60,76,NaN,NaN,72,84,79,78,79,61,84,82,82,NaN,NaN,70,NaN,NaN,NaN,85,NaN,NaN,NaN,83
401260020,68,60,56,NaN,75,63,80,64,70,NaN,NaN,68,60,68,61,72,NaN,NaN,60,NaN,NaN,63,NaN,69,NaN,60,60,78,NaN,NaN,65,86,65,NaN,62,-1,85,70,NaN,NaN,NaN,NaN,NaN,NaN,76,NaN,NaN,NaN,NaN,67
